[11/Aug/2018 11:59:42] DEBUG [CALL:26] Call wrapper in e_logs.core.utils.webutils, line 53
[11/Aug/2018 11:59:42] DEBUG [CALL:28] Exiting wrapper in e_logs.core.utils.webutils, line 53
[11/Aug/2018 11:59:42] DEBUG [CALL:26] Call login_page in e_logs.common.login_app.views, line 31
[11/Aug/2018 11:59:42] DEBUG [CALL:28] Exiting login_page in e_logs.common.login_app.views, line 31
[12/Aug/2018 13:04:12] DEBUG [CALL:29] Call login_page in e_logs.common.login_app.views, line 31
[12/Aug/2018 13:04:12] DEBUG [CALL:32] Exiting login_page in e_logs.common.login_app.views, line 31
[12/Aug/2018 13:04:19] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:19] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:19] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:20] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:20] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:20] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:20] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:20] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:20] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:20] DEBUG [CALL:29] Call get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:04:22] DEBUG [CALL:32] Exiting get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:04:22] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:24] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:28] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:29] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:29] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:29] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:34] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:37] DEBUG [CALL:29] Call get in e_logs.common.all_journals_app.views, line 27
[12/Aug/2018 13:04:37] DEBUG [CALL:29] Call get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:04:37] DEBUG [CALL:29] Call get_shift in e_logs.common.all_journals_app.views, line 35
[12/Aug/2018 13:04:37] DEBUG [CALL:32] Exiting get_shift in e_logs.common.all_journals_app.views, line 35
[12/Aug/2018 13:04:37] DEBUG [CALL:29] Call get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:04:37] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:38] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:38] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:38] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:38] DEBUG [CALL:32] Exiting get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:04:38] DEBUG [CALL:32] Exiting get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:04:39] DEBUG [CALL:32] Exiting get in e_logs.common.all_journals_app.views, line 27
[12/Aug/2018 13:04:39] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:39] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:39] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:39] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:39] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:39] DEBUG [CALL:29] Call get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:04:40] DEBUG [CALL:32] Exiting get_shifts in e_logs.common.all_journals_app.views, line 260
